fdc_id,data_type,description
321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D"
323444,foundation_food,"Cheese, ricotta, whole milk"
323604,foundation_food,"Egg, whole, raw, frozen, pasteurized"
323697,foundation_food,"Egg, white, raw, frozen, pasteurized"
323793,foundation_food,"Egg, white, dried"
325036,foundation_food,"Cheese, parmesan, grated"
325198,foundation_food,"Cheese, pasteurized process, American, vitamin D fortified"
326135,foundation_food,"Cheese, swiss"
328637,foundation_food,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)"
328841,foundation_food,"Cheese, cottage, lowfat, 2% milkfat"
329370,foundation_food,"Cheese, mozzarella, low moisture, part-skim"
329490,foundation_food,"Egg, whole, dried"
329596,foundation_food,"Egg, yolk, raw, frozen, pasteurized"
329716,foundation_food,"Egg, yolk, dried"
329830,foundation_food,"Cheese, dry white, queso seco"
330137,foundation_food,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)"
330415,foundation_food,"Yogurt, Greek, strawberry, nonfat"
746765,foundation_food,"Cheese, dry white, queso seco"
746766,foundation_food,"Cheese, ricotta, whole milk"
746767,foundation_food,"Cheese, swiss"
746772,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
746776,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
746778,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
746782,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D"
747429,foundation_food,"Cheese, American, restaurant"
747997,foundation_food,"Eggs, Grade A, Large, egg white"
748236,foundation_food,"Eggs, Grade A, Large, egg yolk"
748967,foundation_food,"Eggs, Grade A, Large, egg whole"
789828,foundation_food,"Butter, stick, unsalted"
790508,foundation_food,"Butter, stick, salted"
321505,foundation_food,"Salt, table, iodized"
326698,foundation_food,"Mustard, prepared, yellow"
746775,foundation_food,"Salt, table, iodized"
330458,foundation_food,"Oil, coconut"
748278,foundation_food,"Oil, canola"
748323,foundation_food,"Oil, corn"
748366,foundation_food,"Oil, soybean"
748608,foundation_food,"Oil, olive, extra virgin"
330869,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
324038,foundation_food,"Sauce, salsa, ready-to-serve"
331897,foundation_food,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised"
331960,foundation_food,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised"
746785,foundation_food,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles"
323121,foundation_food,"Frankfurter, beef, unheated"
324157,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
325658,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried"
325992,foundation_food,"Sausage, turkey, breakfast links, mild, raw"
332282,foundation_food,"Sauce, pasta, spaghetti/marinara, ready-to-serve"
332397,foundation_food,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)"
746777,foundation_food,"Sauce, salsa, ready-to-serve"
325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened"
325430,foundation_food,"Peaches, yellow, raw"
332864,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
746779,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared"
746780,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried"
746781,foundation_food,"Sausage, pork, chorizo, link or ground, cooked, pan-fried"
746783,foundation_food,"Sausage, turkey, breakfast links, mild, raw"
326905,foundation_food,"Figs, dried, uncooked"
327046,foundation_food,"Kiwifruit, green, raw"
327198,foundation_food,"Melons, cantaloupe, raw"
327357,foundation_food,"Nectarines, raw"
327501,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)"
327699,foundation_food,"Strawberries, raw"
332597,foundation_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
332791,foundation_food,"Olives, green, Manzanilla, stuffed with pimiento"
746768,foundation_food,"Figs, dried, uncooked"
746770,foundation_food,"Melons, cantaloupe, raw"
746771,foundation_food,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)"
746773,foundation_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)"
747448,foundation_food,"Strawberries, raw"
790774,foundation_food,"Bananas, overripe, raw"
790991,foundation_food,"Bananas, ripe and slightly ripe, raw"
746952,foundation_food,"Ham, sliced, restaurant"
749420,foundation_food,"Pork, cured, bacon, cooked, restaurant"
321360,foundation_food,"Tomatoes, grape, raw"
321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids"
321900,foundation_food,"Broccoli, raw"
323505,foundation_food,"Kale, raw"
324317,foundation_food,"Onion rings, breaded, par fried, frozen, prepared, heated in oven"
324653,foundation_food,"Pickles, cucumber, dill or kosher dill"
326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt"
326458,foundation_food,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)"
327923,foundation_food,"Lettuce, cos or romaine, raw"
323294,foundation_food,"Nuts, almonds, dry roasted, with salt added"
333281,foundation_food,"Tomatoes, canned, red, ripe, diced"
746764,foundation_food,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)"
746769,foundation_food,"Lettuce, cos or romaine, raw"
747447,foundation_food,"Broccoli, raw"
747693,foundation_food,"Ketchup, restaurant"
790577,foundation_food,"Onions, red, raw"
790646,foundation_food,"Onions, yellow, raw"
325524,foundation_food,"Seeds, sunflower seed kernels, dry roasted, with salt added"
334849,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
334897,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
334898,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
334963,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
335061,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
335109,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
746758,foundation_food,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted"
746759,foundation_food,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw"
746760,foundation_food,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746761,foundation_food,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw"
746762,foundation_food,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw"
746763,foundation_food,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled"
333374,foundation_food,"Fish, haddock, raw"
333476,foundation_food,"Fish, pollock, raw"
334194,foundation_food,"Fish, tuna, light, canned in water, drained solids"
321358,foundation_food,"Hummus, commercial"
324860,foundation_food,"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)"
335245,foundation_food,"Beans, Dry, Dark Red Kidney (0% moisture)"
335306,foundation_food,"Beans, Dry, Pink (0% moisture)"
335419,foundation_food,"Beans, Dry, Navy (0% moisture)"
335422,foundation_food,"Beans, Dry, Light Red Kidney (0% moisture)"
335425,foundation_food,"Beans, Dry, Brown (0% moisture)"
335428,foundation_food,"Beans, Dry, Flor de Mayo (0% moisture)"
335433,foundation_food,"Beans, Dry, Carioca (0% moisture)"
335442,foundation_food,"Beans, Dry, Tan (0% moisture)"
335695,foundation_food,"Beans, Dry, Pinto (0% moisture)"
335774,foundation_food,"Beans, Dry, Small Red (0% moisture)"
335777,foundation_food,"Beans, Dry, Medium Red (0% moisture)"
335782,foundation_food,"Beans, Dry, Cranberry (0% moisture)"
335785,foundation_food,"Beans, Dry, Light Tan (0% moisture)"
335912,foundation_food,"Beans, Dry, Black (0% moisture)"
335927,foundation_food,"Beans, Dry, Small White (0% moisture)"
335930,foundation_food,"Beans, Dry, Red (0% moisture)"
336067,foundation_food,"Beans, Dry, Great Northern (0% moisture)"
747430,foundation_food,"Beans, Dry, Medium Red (0% moisture)"
747431,foundation_food,"Beans, Dry, Red (0% moisture)"
747432,foundation_food,"Beans, Dry, Flor de Mayo (0% moisture)"
747433,foundation_food,"Beans, Dry, Brown (0% moisture)"
747434,foundation_food,"Beans, Dry, Tan (0% moisture)"
747435,foundation_food,"Beans, Dry, Light Tan (0% moisture)"
747436,foundation_food,"Beans, Dry, Carioca (0% moisture)"
747437,foundation_food,"Beans, Dry, Cranberry (0% moisture)"
747438,foundation_food,"Beans, Dry, Light Red Kidney (0% moisture)"
747439,foundation_food,"Beans, Dry, Pink (0% moisture)"
747440,foundation_food,"Beans, Dry, Dark Red Kidney (0% moisture)"
747441,foundation_food,"Beans, Dry, Navy (0% moisture)"
747442,foundation_food,"Beans, Dry, Small White (0% moisture)"
747443,foundation_food,"Beans, Dry, Small Red (0% moisture)"
747444,foundation_food,"Beans, Dry, Black (0% moisture)"
747445,foundation_food,"Beans, Dry, Pinto (0% moisture)"
747446,foundation_food,"Beans, Dry, Great Northern (0% moisture)"
325871,foundation_food,"Bread, white, commercially prepared (includes soft bread crumbs)"
333008,foundation_food,"Cookies, oatmeal, soft, with raisins"
335240,foundation_food,"Bread, whole-wheat, commercially prepared"
334247,foundation_food,"Sugars, granulated"
746784,foundation_food,"Sugars, granulated"
789890,foundation_food,"Flour, wheat, all-purpose, enriched, bleached"
789951,foundation_food,"Flour, wheat, all-purpose, enriched, unbleached"
790018,foundation_food,"Flour, wheat, all-purpose, unenriched, unbleached"
790085,foundation_food,"Flour, whole wheat, unenriched"
790146,foundation_food,"Flour, bread, white, enriched, unbleached"
790214,foundation_food,"Flour, rice, white, unenriched"
790276,foundation_food,"Flour, corn, yellow, fine meal, enriched"
334462,foundation_food,"Restaurant, Chinese, sweet and sour pork"
334536,foundation_food,"Restaurant, Chinese, fried rice, without meat"
334628,foundation_food,"Restaurant, Latino, tamale, pork"
334720,foundation_food,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)"
746774,foundation_food,"Restaurant, Chinese, sweet and sour pork"
